sno,vol,lesson,qno,question,question_image,option_1,option_1_image,option_2,option_2_image,option_3,option_3_image,option_4,option_4_image,answer,answer_image
1,Vol1,1,1,What is the basic unit of life?,,Atom,,Molecule,,Cell,,Tissue,,Cell,
2,Vol1,1,2,How many chambers does a human heart have?,,2,,3,,4,,5,,4,
3,Vol1,2,3,What is photosynthesis?,,Breaking down glucose,,Production of glucose using sunlight,,Respiration,,Digestion,,Production of glucose using sunlight,
4,Vol1,2,4,What is the powerhouse of the cell?,,Nucleus,,Ribosome,,Mitochondria,,Chloroplast,,Mitochondria,
5,Vol1,3,5,What is the process by which plants lose water?,,Photosynthesis,,Transpiration,,Respiration,,Digestion,,Transpiration,
6,Vol1,3,6,What is the main function of the kidney?,,Produce hormones,,Regulate blood pressure,,Filter waste from blood,,Produce red blood cells,,Filter waste from blood,
7,Vol1,4,7,What is the genetic material in cells?,,Protein,,Lipid,,DNA,,Carbohydrate,,DNA,
8,Vol1,4,8,What is the process of cell division that produces sex cells?,,Mitosis,,Meiosis,,Binary fission,,Budding,,Meiosis,
9,Vol2,1,9,What is the formula for photosynthesis?,,$$6CO_2 + 6H_2O \rightarrow C_6H_{12}O_6 + 6O_2$$,,$$C_6H_{12}O_6 + O_2 \rightarrow CO_2 + H_2O$$,,$$6CO_2 + O_2 \rightarrow C_6H_{12}O_6$$,,$$H_2O + CO_2 \rightarrow O_2$$,,$$6CO_2 + 6H_2O \rightarrow C_6H_{12}O_6 + 6O_2$$,
10,Vol2,1,10,What is the function of hemoglobin?,,Transport oxygen,,Transport glucose,,Transport lipids,,Transport proteins,,Transport oxygen,
11,Vol2,2,11,What is the structure of DNA?,,Single helix,,Double helix,,Triple helix,,Quadruple helix,,Double helix,
12,Vol2,2,12,What is the basic unit of heredity?,,Chromosome,,Gene,,Allele,,Codon,,Gene,
13,Vol2,3,13,What is the process of breaking down food?,,Photosynthesis,,Digestion,,Respiration,,Fermentation,,Digestion,
14,Vol2,3,14,What is the function of the liver?,,Pump blood,,Filter blood,,Produce hormones,,Store and process nutrients,,Store and process nutrients,
15,Vol2,4,15,What is the process of gas exchange in lungs?,,Diffusion,,Osmosis,,Active transport,,Facilitated diffusion,,Diffusion,
